Date,Country,Exchange,Holiday
"Oct 04, 2024",China,Shanghai Stock Exchange,National Day
"Oct 04, 2024",China,Shenzhen Stock Exchange,National Day
"Oct 07, 2024",China,Shanghai Stock Exchange,National Day
"Oct 07, 2024",China,Shenzhen Stock Exchange,National Day
"Jan 01, 2025",China,Shanghai Stock Exchange,New Year's Day
"Jan 01, 2025",China,Shenzhen Stock Exchange,New Year's Day
"Jan 28, 2025",China,Shanghai Stock Exchange,Chinese New Year
"Jan 28, 2025",China,Shenzhen Stock Exchange,Chinese New Year
"Jan 29, 2025",China,Shanghai Stock Exchange,Chinese New Year
"Jan 29, 2025",China,Shenzhen Stock Exchange,Chinese New Year
"Jan 30, 2025",China,Shanghai Stock Exchange,Chinese New Year
"Jan 30, 2025",China,Shenzhen Stock Exchange,Chinese New Year
"Jan 31, 2025",China,Shanghai Stock Exchange,Chinese New Year
"Jan 31, 2025",China,Shenzhen Stock Exchange,Chinese New Year
"Feb 03, 2025",China,Shanghai Stock Exchange,Chinese New Year
"Feb 03, 2025",China,Shenzhen Stock Exchange,Chinese New Year
"Feb 04, 2025",China,Shanghai Stock Exchange,Chinese New Year
"Feb 04, 2025",China,Shenzhen Stock Exchange,Chinese New Year
"Apr 04, 2025",China,Shanghai Stock Exchange,Ching Ming Festival
"Apr 04, 2025",China,Shenzhen Stock Exchange,Ching Ming Festival
"May 01, 2025",China,Shanghai Stock Exchange,Labor Day
"May 01, 2025",China,Shenzhen Stock Exchange,Labor Day
"May 02, 2025",China,Shanghai Stock Exchange,Labor Day
"May 02, 2025",China,Shenzhen Stock Exchange,Labor Day
"May 05, 2025",China,Shanghai Stock Exchange,Labor Day
"May 05, 2025",China,Shenzhen Stock Exchange,Labor Day
"Jun 02, 2025",China,Shanghai Stock Exchange,Dragon Boat Festival
"Jun 02, 2025",China,Shenzhen Stock Exchange,Dragon Boat Festival
"Oct 01, 2025",China,Shanghai Stock Exchange,National Day
"Oct 01, 2025",China,Shenzhen Stock Exchange,National Day
"Oct 02, 2025",China,Shanghai Stock Exchange,National Day
"Oct 02, 2025",China,Shenzhen Stock Exchange,National Day
"Oct 03, 2025",China,Shanghai Stock Exchange,National Day
"Oct 03, 2025",China,Shenzhen Stock Exchange,National Day
"Oct 06, 2025",China,Shanghai Stock Exchange,National Day
"Oct 06, 2025",China,Shenzhen Stock Exchange,National Day
"Oct 07, 2025",China,Shanghai Stock Exchange,National Day
"Oct 07, 2025",China,Shenzhen Stock Exchange,National Day
"Oct 08, 2025",China,Shanghai Stock Exchange,Mid-Autumn Festival
"Oct 08, 2025",China,Shenzhen Stock Exchange,Mid-Autumn Festival
"Jan 01, 2024",Colombia,Colombia Stock Exchange,New Year's Day
"Jan 08, 2024",Colombia,Colombia Stock Exchange,Epiphany Day
"Mar 25, 2024",Colombia,Colombia Stock Exchange,St. Joseph
"Mar 28, 2024",Colombia,Colombia Stock Exchange,Maundy Thursday
"Mar 29, 2024",Colombia,Colombia Stock Exchange,Good Friday
"May 01, 2024",Colombia,Colombia Stock Exchange,Labor Day
"May 13, 2024",Colombia,Colombia Stock Exchange,Ascension Day
"Jun 03, 2024",Colombia,Colombia Stock Exchange,Corpus Christi Day
"Jun 10, 2024",Colombia,Colombia Stock Exchange,Feast of the Sacred Heart
"Jul 01, 2024",Colombia,Colombia Stock Exchange,St Peter and St Paul Day
"Aug 07, 2024",Colombia,Colombia Stock Exchange,Battle of Boyacá
"Aug 19, 2024",Colombia,Colombia Stock Exchange,Assumption Day
"Oct 14, 2024",Colombia,Colombia Stock Exchange,Columbus Day
"Nov 04, 2024",Colombia,Colombia Stock Exchange,All Saint's Day
"Nov 11, 2024",Colombia,Colombia Stock Exchange,Independence Day
"Dec 25, 2024",Colombia,Colombia Stock Exchange,Christmas
"Jan 01, 2025",Colombia,Colombia Stock Exchange,New Year's Day
"Jan 06, 2025",Colombia,Colombia Stock Exchange,Epiphany Day
"Mar 24, 2025",Colombia,Colombia Stock Exchange,St. Joseph
"Apr 17, 2025",Colombia,Colombia Stock Exchange,Maundy Thursday
"Apr 18, 2025",Colombia,Colombia Stock Exchange,Good Friday
"May 01, 2025",Colombia,Colombia Stock Exchange,Labor Day
"Jun 02, 2025",Colombia,Colombia Stock Exchange,Ascension Day
"Jun 23, 2025",Colombia,Colombia Stock Exchange,Corpus Christi Day
"Jun 30, 2025",Colombia,Colombia Stock Exchange,Feast of the Sacred Heart
"Aug 07, 2025",Colombia,Colombia Stock Exchange,Battle of Boyacá
"Aug 18, 2025",Colombia,Colombia Stock Exchange,Assumption Day
"Oct 13, 2025",Colombia,Colombia Stock Exchange,Columbus Day
"Nov 03, 2025",Colombia,Colombia Stock Exchange,All Saint's Day
"Nov 17, 2025",Colombia,Colombia Stock Exchange,Independence Day
"Dec 08, 2025",Colombia,Colombia Stock Exchange,Feast of the Immaculate Conception
"Dec 25, 2025",Colombia,Colombia Stock Exchange,Christmas
"Jan 01, 2024",Costa Rica,Costa Rica Stock Exchange,New Year's Day
"Mar 28, 2024",Costa Rica,Costa Rica Stock Exchange,Maundy Thursday
"Mar 29, 2024",Costa Rica,Costa Rica Stock Exchange,Good Friday
"Apr 15, 2024",Costa Rica,Costa Rica Stock Exchange,Battle of Rivas Day
"May 01, 2024",Costa Rica,Costa Rica Stock Exchange,Labor Day
"Jul 29, 2024",Costa Rica,Costa Rica Stock Exchange,National Day
"Aug 02, 2024",Costa Rica,Costa Rica Stock Exchange,National Day
"Aug 19, 2024",Costa Rica,Costa Rica Stock Exchange,Mother's Day
"Dec 25, 2024",Costa Rica,Costa Rica Stock Exchange,Christmas
"Jan 01, 2025",Costa Rica,Costa Rica Stock Exchange,New Year's Day
"Apr 11, 2025",Costa Rica,Costa Rica Stock Exchange,Battle of Rivas Day
"Apr 17, 2025",Costa Rica,Costa Rica Stock Exchange,Maundy Thursday
"Apr 18, 2025",Costa Rica,Costa Rica Stock Exchange,Good Friday
"May 01, 2025",Costa Rica,Costa Rica Stock Exchange,Labor Day
"Jul 25, 2025",Costa Rica,Costa Rica Stock Exchange,National Day
"Aug 15, 2025",Costa Rica,Costa Rica Stock Exchange,Mother's Day
"Sep 15, 2025",Costa Rica,Costa Rica Stock Exchange,Independence Day
"Dec 01, 2025",Costa Rica,Costa Rica Stock Exchange,National Day
"Dec 25, 2025",Costa Rica,Costa Rica Stock Exchange,Christmas
"Jan 01, 2024",Croatia,Zagreb Stock Exchange,New Year's Day
"Mar 29, 2024",Croatia,Zagreb Stock Exchange,Good Friday
"Apr 01, 2024",Croatia,Zagreb Stock Exchange,Easter
"May 01, 2024",Croatia,Zagreb Stock Exchange,Labor Day
"May 30, 2024",Croatia,Zagreb Stock Exchange,Corpus Christi Day
"Aug 05, 2024",Croatia,Zagreb Stock Exchange,National Day
"Aug 15, 2024",Croatia,Zagreb Stock Exchange,Assumption Day
"Nov 01, 2024",Croatia,Zagreb Stock Exchange,All Saint's Day
"Nov 18, 2024",Croatia,Zagreb Stock Exchange,Armistice Day in World War I
"Dec 24, 2024",Croatia,Zagreb Stock Exchange,Christmas
"Dec 25, 2024",Croatia,Zagreb Stock Exchange,Christmas
"Dec 26, 2024",Croatia,Zagreb Stock Exchange,St. Stephen's Day
"Dec 31, 2024",Croatia,Zagreb Stock Exchange,New Year's Day
"Jan 01, 2025",Croatia,Zagreb Stock Exchange,New Year's Day
"Jan 06, 2025",Croatia,Zagreb Stock Exchange,Epiphany Day
"Apr 18, 2025",Croatia,Zagreb Stock Exchange,Good Friday
"Apr 21, 2025",Croatia,Zagreb Stock Exchange,Easter
"May 01, 2025",Croatia,Zagreb Stock Exchange,Labor Day
"May 30, 2025",Croatia,Zagreb Stock Exchange,National Day
"Jun 19, 2025",Croatia,Zagreb Stock Exchange,Corpus Christi Day
"Aug 05, 2025",Croatia,Zagreb Stock Exchange,National Day
"Aug 15, 2025",Croatia,Zagreb Stock Exchange,Assumption Day
"Nov 18, 2025",Croatia,Zagreb Stock Exchange,Armistice Day in World War I
"Dec 24, 2025",Croatia,Zagreb Stock Exchange,Christmas
"Dec 25, 2025",Croatia,Zagreb Stock Exchange,Christmas
"Dec 26, 2025",Croatia,Zagreb Stock Exchange,St. Stephen's Day
"Dec 31, 2025",Croatia,Zagreb Stock Exchange,New Year's Day
"Jan 01, 2024",Cyprus,Cyprus Stock Exchange,New Year's Day
"Mar 18, 2024",Cyprus,Cyprus Stock Exchange,Clean Monday
"Mar 25, 2024",Cyprus,Cyprus Stock Exchange,Independence Day
"Mar 29, 2024",Cyprus,Cyprus Stock Exchange,Good Friday
"Apr 01, 2024",Cyprus,Cyprus Stock Exchange,National Day
"May 01, 2024",Cyprus,Cyprus Stock Exchange,Labor Day
"May 03, 2024",Cyprus,Cyprus Stock Exchange,Good Friday
"May 06, 2024",Cyprus,Cyprus Stock Exchange,Easter
"May 07, 2024",Cyprus,Cyprus Stock Exchange,Easter
"Jun 24, 2024",Cyprus,Cyprus Stock Exchange,Pentecost
"Aug 15, 2024",Cyprus,Cyprus Stock Exchange,Assumption Day
"Oct 01, 2024",Cyprus,Cyprus Stock Exchange,Independence Day
"Oct 28, 2024",Cyprus,Cyprus Stock Exchange,National Day
"Dec 24, 2024",Cyprus,Cyprus Stock Exchange,Christmas
"Dec 25, 2024",Cyprus,Cyprus Stock Exchange,Christmas
"Dec 26, 2024",Cyprus,Cyprus Stock Exchange,Boxing Day
"Jan 01, 2025",Cyprus,Cyprus Stock Exchange,New Year's Day
"Jan 06, 2025",Cyprus,Cyprus Stock Exchange,Epiphany Day
"Mar 03, 2025",Cyprus,Cyprus Stock Exchange,Clean Monday
"Mar 25, 2025",Cyprus,Cyprus Stock Exchange,Independence Day
"Apr 01, 2025",Cyprus,Cyprus Stock Exchange,National Day
"Apr 18, 2025",Cyprus,Cyprus Stock Exchange,Good Friday
"Apr 21, 2025",Cyprus,Cyprus Stock Exchange,Easter
"Apr 22, 2025",Cyprus,Cyprus Stock Exchange,Easter
"May 01, 2025",Cyprus,Cyprus Stock Exchange,Labor Day
"Jun 09, 2025",Cyprus,Cyprus Stock Exchange,Pentecost
"Aug 15, 2025",Cyprus,Cyprus Stock Exchange,Assumption Day
"Oct 01, 2025",Cyprus,Cyprus Stock Exchange,Independence Day
"Oct 28, 2025",Cyprus,Cyprus Stock Exchange,National Day
"Dec 24, 2025",Cyprus,Cyprus Stock Exchange,Christmas
"Dec 25, 2025",Cyprus,Cyprus Stock Exchange,Christmas
"Dec 26, 2025",Cyprus,Cyprus Stock Exchange,Boxing Day
"Jan 01, 2024",Czech Republic,Prague Stock Exchange,New Year's Day
"Mar 29, 2024",Czech Republic,Prague Stock Exchange,Good Friday
"Apr 01, 2024",Czech Republic,Prague Stock Exchange,Easter
"May 01, 2024",Czech Republic,Prague Stock Exchange,Labor Day
"May 08, 2024",Czech Republic,Prague Stock Exchange,Liberation Day
"Jul 05, 2024",Czech Republic,Prague Stock Exchange,Cyril and Methodius Day
"Oct 28, 2024",Czech Republic,Prague Stock Exchange,Independence Day
"Dec 24, 2024",Czech Republic,Prague Stock Exchange,Christmas
"Dec 25, 2024",Czech Republic,Prague Stock Exchange,Christmas
"Dec 26, 2024",Czech Republic,Prague Stock Exchange,St. Stephen's Day
"Dec 31, 2024",Czech Republic,Prague Stock Exchange,Bank Holiday
"Jan 01, 2025",Czech Republic,Prague Stock Exchange,New Year's Day
"Apr 18, 2025",Czech Republic,Prague Stock Exchange,Good Friday
"Apr 21, 2025",Czech Republic,Prague Stock Exchange,Easter
"Oct 28, 2025",Czech Republic,Prague Stock Exchange,Independence Day
"Nov 17, 2025",Czech Republic,Prague Stock Exchange,Revolution Day
"Dec 24, 2025",Czech Republic,Prague Stock Exchange,Christmas
"Dec 25, 2025",Czech Republic,Prague Stock Exchange,Christmas
"Dec 26, 2025",Czech Republic,Prague Stock Exchange,St. Stephen's Day
"Dec 31, 2025",Czech Republic,Prague Stock Exchange,Bank Holiday
"Jan 01, 2024",Denmark,Copenhagen Stock Exchange,New Year's Day
"Mar 28, 2024",Denmark,Copenhagen Stock Exchange,Maundy Thursday
"Mar 29, 2024",Denmark,Copenhagen Stock Exchange,Good Friday
"Apr 01, 2024",Denmark,Copenhagen Stock Exchange,Easter
"May 09, 2024",Denmark,Copenhagen Stock Exchange,Ascension Day
"May 10, 2024",Denmark,Copenhagen Stock Exchange,Market Holiday
"May 20, 2024",Denmark,Copenhagen Stock Exchange,Pentecost
"Jun 05, 2024",Denmark,Copenhagen Stock Exchange,Constitution Day
"Dec 24, 2024",Denmark,Copenhagen Stock Exchange,Christmas
"Dec 25, 2024",Denmark,Copenhagen Stock Exchange,Christmas
"Dec 26, 2024",Denmark,Copenhagen Stock Exchange,Christmas
"Dec 31, 2024",Denmark,Copenhagen Stock Exchange,New Year's Day
"Jan 01, 2025",Denmark,Copenhagen Stock Exchange,New Year's Day
"Apr 17, 2025",Denmark,Copenhagen Stock Exchange,Maundy Thursday
"Apr 18, 2025",Denmark,Copenhagen Stock Exchange,Good Friday
"Apr 21, 2025",Denmark,Copenhagen Stock Exchange,Easter
"May 29, 2025",Denmark,Copenhagen Stock Exchange,Ascension Day
"May 30, 2025",Denmark,Copenhagen Stock Exchange,Market Holiday
"Jun 05, 2025",Denmark,Copenhagen Stock Exchange,Pentecost
"Jun 09, 2025",Denmark,Copenhagen Stock Exchange,Constitution Day
"Dec 24, 2025",Denmark,Copenhagen Stock Exchange,Christmas
"Dec 25, 2025",Denmark,Copenhagen Stock Exchange,Christmas
"Dec 26, 2025",Denmark,Copenhagen Stock Exchange,Christmas
"Dec 31, 2025",Denmark,Copenhagen Stock Exchange,New Year's Day
"Jan 01, 2025",Ecuador,Quito Stock Exchange,New Year's Day
"Mar 03, 2025",Ecuador,Quito Stock Exchange,Carnival
"Mar 04, 2025",Ecuador,Quito Stock Exchange,Carnival
"Apr 18, 2025",Ecuador,Quito Stock Exchange,Good Friday
"May 02, 2025",Ecuador,Quito Stock Exchange,Labor Day
"May 23, 2025",Ecuador,Quito Stock Exchange,National Day
"Aug 11, 2025",Ecuador,Quito Stock Exchange,Independence Day
"Oct 10, 2025",Ecuador,Quito Stock Exchange,Independence Day
"Nov 03, 2025",Ecuador,Quito Stock Exchange,Independence Day
"Nov 04, 2025",Ecuador,Quito Stock Exchange,All Saint's Day
"Dec 25, 2025",Ecuador,Quito Stock Exchange,Christmas
"Jan 01, 2024",Egypt,Egypt Stock Exchange,Bank Holiday
"Jan 07, 2024",Egypt,Egypt Stock Exchange,Christmas
"Jan 25, 2024",Egypt,Egypt Stock Exchange,Revolution Day
"Apr 09, 2024",Egypt,Egypt Stock Exchange,Eid al-Fitr
"Apr 10, 2024",Egypt,Egypt Stock Exchange,Eid al-Fitr
"Apr 11, 2024",Egypt,Egypt Stock Exchange,Eid al-Fitr
"Apr 14, 2024",Egypt,Egypt Stock Exchange,Eid al-Fitr
"Apr 25, 2024",Egypt,Egypt Stock Exchange,Liberation Day
"May 05, 2024",Egypt,Egypt Stock Exchange,Labor Day
"May 06, 2024",Egypt,Egypt Stock Exchange,Sham El Nessim
"Jun 16, 2024",Egypt,Egypt Stock Exchange,Eid al-Adha
"Jun 17, 2024",Egypt,Egypt Stock Exchange,Eid al-Adha
"Jun 18, 2024",Egypt,Egypt Stock Exchange,Eid al-Adha
"Jun 19, 2024",Egypt,Egypt Stock Exchange,Eid al-Adha
"Jun 20, 2024",Egypt,Egypt Stock Exchange,Eid al-Adha
"Jul 11, 2024",Egypt,Egypt Stock Exchange,Islamic New Year (Hijri)
"Jul 25, 2024",Egypt,Egypt Stock Exchange,Revolution Day
"Sep 15, 2024",Egypt,Egypt Stock Exchange,Mawlid-al-Nabi
"Oct 06, 2024",Egypt,Egypt Stock Exchange,Armed Forces Day
"Jan 01, 2025",Egypt,Egypt Stock Exchange,New Year's Day
"Jan 07, 2025",Egypt,Egypt Stock Exchange,Christmas
"Jan 25, 2025",Egypt,Egypt Stock Exchange,Police Day
"Jan 25, 2025",Egypt,Egypt Stock Exchange,Revolution Day
"Mar 02, 2025",Egypt,Egypt Stock Exchange,Ramadan Holiday - Early close at 13:30
"Mar 03, 2025",Egypt,Egypt Stock Exchange,Ramadan Holiday - Early close at 13:30
"Mar 04, 2025",Egypt,Egypt Stock Exchange,Ramadan Holiday - Early close at 13:30
"Mar 05, 2025",Egypt,Egypt Stock Exchange,Ramadan Holiday - Early close at 13:30
"Mar 06, 2025",Egypt,Egypt Stock Exchange,Ramadan Holiday - Early close at 13:30
"Mar 09, 2025",Egypt,Egypt Stock Exchange,Ramadan Holiday - Early close at 13:30
"Mar 10, 2025",Egypt,Egypt Stock Exchange,Ramadan Holiday - Early close at 13:30
"Mar 11, 2025",Egypt,Egypt Stock Exchange,Ramadan Holiday - Early close at 13:30
"Mar 12, 2025",Egypt,Egypt Stock Exchange,Ramadan Holiday - Early close at 13:30
"Mar 13, 2025",Egypt,Egypt Stock Exchange,Ramadan Holiday - Early close at 13:30
"Mar 16, 2025",Egypt,Egypt Stock Exchange,Ramadan Holiday - Early close at 13:30
"Mar 17, 2025",Egypt,Egypt Stock Exchange,Ramadan Holiday - Early close at 13:30
"Mar 18, 2025",Egypt,Egypt Stock Exchange,Ramadan Holiday - Early close at 13:30
"Mar 19, 2025",Egypt,Egypt Stock Exchange,Ramadan Holiday - Early close at 13:30
"Mar 20, 2025",Egypt,Egypt Stock Exchange,Ramadan Holiday - Early close at 13:30
"Mar 23, 2025",Egypt,Egypt Stock Exchange,Ramadan Holiday - Early close at 13:30
"Mar 24, 2025",Egypt,Egypt Stock Exchange,Ramadan Holiday - Early close at 13:30
"Mar 25, 2025",Egypt,Egypt Stock Exchange,Ramadan Holiday - Early close at 13:30
"Mar 26, 2025",Egypt,Egypt Stock Exchange,Ramadan Holiday - Early close at 13:30
"Mar 27, 2025",Egypt,Egypt Stock Exchange,Ramadan Holiday - Early close at 13:30
"Mar 30, 2025",Egypt,Egypt Stock Exchange,Eid al-Fitr
"Mar 31, 2025",Egypt,Egypt Stock Exchange,Eid al-Fitr
"Apr 01, 2025",Egypt,Egypt Stock Exchange,Eid al-Fitr
"Apr 20, 2025",Egypt,Egypt Stock Exchange,Easter
"Apr 21, 2025",Egypt,Egypt Stock Exchange,Sham El Nessim
"Apr 24, 2025",Egypt,Egypt Stock Exchange,Sinai Liberation Day
"May 01, 2025",Egypt,Egypt Stock Exchange,Labor Day
"Jun 05, 2025",Egypt,Egypt Stock Exchange,Day of Arafat
"Jun 06, 2025",Egypt,Egypt Stock Exchange,Eid al-Adha
"Jun 07, 2025",Egypt,Egypt Stock Exchange,Eid al-Adha
"Jun 08, 2025",Egypt,Egypt Stock Exchange,Eid al-Adha
"Jun 09, 2025",Egypt,Egypt Stock Exchange,Eid al-Adha
"Jun 26, 2025",Egypt,Egypt Stock Exchange,Islamic New Year (Hijri)
"Jul 03, 2025",Egypt,Egypt Stock Exchange,Revolution Day
"Jul 24, 2025",Egypt,Egypt Stock Exchange,Revolution Day
"Sep 04, 2025",Egypt,Egypt Stock Exchange,Holy Prophet’s Birthday
"Oct 09, 2025",Egypt,Egypt Stock Exchange,Armed Forces Day
"Jan 01, 2024",Estonia,Tallinn Stock Exchange,New Year's Day
"Mar 29, 2024",Estonia,Tallinn Stock Exchange,Good Friday
"Apr 01, 2024",Estonia,Tallinn Stock Exchange,Easter
"May 01, 2024",Estonia,Tallinn Stock Exchange,Labor Day
"May 09, 2024",Estonia,Tallinn Stock Exchange,Ascension Day
"Jun 24, 2024",Estonia,Tallinn Stock Exchange,Midsummer Day
"Aug 20, 2024",Estonia,Tallinn Stock Exchange,Independence Day
"Dec 24, 2024",Estonia,Tallinn Stock Exchange,Christmas
"Dec 25, 2024",Estonia,Tallinn Stock Exchange,Christmas
"Dec 26, 2024",Estonia,Tallinn Stock Exchange,Boxing Day
"Dec 31, 2024",Estonia,Tallinn Stock Exchange,New Year's Day
"Jan 01, 2025",Estonia,Tallinn Stock Exchange,New Year's Day
"Feb 24, 2025",Estonia,Tallinn Stock Exchange,Independence Day
"Apr 18, 2025",Estonia,Tallinn Stock Exchange,Good Friday
"Apr 20, 2025",Estonia,Tallinn Stock Exchange,Easter
"Apr 21, 2025",Estonia,Tallinn Stock Exchange,Easter Monday
"May 01, 2025",Estonia,Tallinn Stock Exchange,Labor Day
"Jun 08, 2025",Estonia,Tallinn Stock Exchange,Pentecost
"Jun 23, 2025",Estonia,Tallinn Stock Exchange,National Day
"Jun 24, 2025",Estonia,Tallinn Stock Exchange,Midsummer Day
"Aug 20, 2025",Estonia,Tallinn Stock Exchange,Independence Day
"Dec 24, 2025",Estonia,Tallinn Stock Exchange,Christmas
"Dec 25, 2025",Estonia,Tallinn Stock Exchange,Christmas
"Dec 26, 2025",Estonia,Tallinn Stock Exchange,Boxing Day
"Dec 31, 2025",Estonia,Tallinn Stock Exchange,New Year's Day
"Jan 01, 2024",Finland,Helsinki Stock Exchange,New Year's Day
"Mar 29, 2024",Finland,Helsinki Stock Exchange,Good Friday
"Apr 01, 2024",Finland,Helsinki Stock Exchange,Easter
"May 01, 2024",Finland,Helsinki Stock Exchange,Labor Day
"May 09, 2024",Finland,Helsinki Stock Exchange,Ascension Day
"Jun 21, 2024",Finland,Helsinki Stock Exchange,Midsummer Day
"Dec 06, 2024",Finland,Helsinki Stock Exchange,Independence Day
"Dec 24, 2024",Finland,Helsinki Stock Exchange,Christmas
"Dec 25, 2024",Finland,Helsinki Stock Exchange,Christmas
"Dec 26, 2024",Finland,Helsinki Stock Exchange,St. Stephen's Day
"Dec 31, 2024",Finland,Helsinki Stock Exchange,New Year's Day
"Jan 01, 2025",Finland,Helsinki Stock Exchange,New Year's Day
"Jan 06, 2025",Finland,Helsinki Stock Exchange,Epiphany Day
"Apr 18, 2025",Finland,Helsinki Stock Exchange,Good Friday
"Apr 21, 2025",Finland,Helsinki Stock Exchange,Easter
"May 01, 2025",Finland,Helsinki Stock Exchange,Labor Day
"May 29, 2025",Finland,Helsinki Stock Exchange,Ascension Day
"Jun 20, 2025",Finland,Helsinki Stock Exchange,Midsummer Day
"Dec 24, 2025",Finland,Helsinki Stock Exchange,Christmas
"Dec 25, 2025",Finland,Helsinki Stock Exchange,Christmas
"Dec 26, 2025",Finland,Helsinki Stock Exchange,St. Stephen's Day
"Dec 31, 2025",Finland,Helsinki Stock Exchange,New Year's Day
"Jan 01, 2024",France,Paris Stock Exchange,New Year's Day
"Mar 29, 2024",France,Paris Stock Exchange,Good Friday
"Apr 01, 2024",France,Paris Stock Exchange,Easter
"May 01, 2024",France,Paris Stock Exchange,Labor Day
"Dec 24, 2024",France,Paris Stock Exchange,Christmas - Early close at 14:05
"Dec 25, 2024",France,Paris Stock Exchange,Christmas
"Dec 26, 2024",France,Paris Stock Exchange,Boxing Day
"Dec 31, 2024",France,Paris Stock Exchange,New Year's Day - Early close at 14:05
"Jan 01, 2025",France,Paris Stock Exchange,New Year's Day
"Apr 18, 2025",France,Paris Stock Exchange,Good Friday
"Apr 21, 2025",France,Paris Stock Exchange,Easter
"May 01, 2025",France,Paris Stock Exchange,Labor Day
"Dec 24, 2025",France,Paris Stock Exchange,Christmas - Early close at 14:05
"Dec 25, 2025",France,Paris Stock Exchange,Christmas
"Dec 26, 2025",France,Paris Stock Exchange,Boxing Day
"Dec 31, 2025",France,Paris Stock Exchange,New Year's Day - Early close at 14:05
"Jan 01, 2024",Germany,Frankfurt Stock Exchange,New Year's Day
"Mar 29, 2024",Germany,Frankfurt Stock Exchange,Good Friday
"Apr 01, 2024",Germany,Frankfurt Stock Exchange,Easter
"May 01, 2024",Germany,Frankfurt Stock Exchange,Labor Day
"Dec 24, 2024",Germany,Frankfurt Stock Exchange,Christmas
"Dec 25, 2024",Germany,Frankfurt Stock Exchange,Christmas
"Dec 26, 2024",Germany,Frankfurt Stock Exchange,Boxing Day
"Dec 31, 2024",Germany,Frankfurt Stock Exchange,New Year's Day
"Jan 01, 2025",Germany,Frankfurt Stock Exchange,New Year's Day
"Apr 18, 2025",Germany,Frankfurt Stock Exchange,Good Friday
"Apr 21, 2025",Germany,Frankfurt Stock Exchange,Easter
"May 01, 2025",Germany,Frankfurt Stock Exchange,Labor Day
"Dec 24, 2025",Germany,Frankfurt Stock Exchange,Christmas
"Dec 25, 2025",Germany,Frankfurt Stock Exchange,Christmas
"Dec 26, 2025",Germany,Frankfurt Stock Exchange,Boxing Day
"Dec 31, 2025",Germany,Frankfurt Stock Exchange,New Year's Day
"Jan 01, 2024",Greece,Athens Stock Exchange,New Year's Day
"Mar 18, 2024",Greece,Athens Stock Exchange,Clean Monday
"Mar 25, 2024",Greece,Athens Stock Exchange,Independence Day
"Mar 29, 2024",Greece,Athens Stock Exchange,Good Friday
"Apr 01, 2024",Greece,Athens Stock Exchange,Easter
"May 01, 2024",Greece,Athens Stock Exchange,Labor Day
"May 03, 2024",Greece,Athens Stock Exchange,Good Friday
"May 06, 2024",Greece,Athens Stock Exchange,Easter
"May 07, 2024",Greece,Athens Stock Exchange,Labor Day
"Jun 24, 2024",Greece,Athens Stock Exchange,Pentecost
"Aug 15, 2024",Greece,Athens Stock Exchange,Assumption Day
"Oct 28, 2024",Greece,Athens Stock Exchange,Ohi Day
"Dec 24, 2024",Greece,Athens Stock Exchange,Christmas
"Dec 25, 2024",Greece,Athens Stock Exchange,Christmas
"Dec 26, 2024",Greece,Athens Stock Exchange,Christmas
"Jan 01, 2025",Greece,Athens Stock Exchange,New Year's Day
"Jan 06, 2025",Greece,Athens Stock Exchange,Epiphany Day
"Mar 03, 2025",Greece,Athens Stock Exchange,Clean Monday
"Mar 25, 2025",Greece,Athens Stock Exchange,Independence Day
"Apr 18, 2025",Greece,Athens Stock Exchange,Good Friday
"Apr 21, 2025",Greece,Athens Stock Exchange,Easter
"May 01, 2025",Greece,Athens Stock Exchange,Labor Day
"Jun 09, 2025",Greece,Athens Stock Exchange,Pentecost
"Aug 15, 2025",Greece,Athens Stock Exchange,Assumption Day
"Oct 28, 2025",Greece,Athens Stock Exchange,Ohi Day
"Dec 25, 2025",Greece,Athens Stock Exchange,Christmas
"Dec 26, 2025",Greece,Athens Stock Exchange,Christmas
"Jan 01, 2024",Hong Kong,Hong Kong Stock Exchange,New Year's Day
"Feb 09, 2024",Hong Kong,Hong Kong Stock Exchange,Chinese New Year - Early close at 12:00
"Feb 12, 2024",Hong Kong,Hong Kong Stock Exchange,Chinese New Year
"Feb 13, 2024",Hong Kong,Hong Kong Stock Exchange,Chinese New Year
"Mar 29, 2024",Hong Kong,Hong Kong Stock Exchange,Good Friday
"Apr 01, 2024",Hong Kong,Hong Kong Stock Exchange,Easter
"Apr 04, 2024",Hong Kong,Hong Kong Stock Exchange,Ching Ming Festival
"May 01, 2024",Hong Kong,Hong Kong Stock Exchange,Labor Day
"May 15, 2024",Hong Kong,Hong Kong Stock Exchange,The Birthday of the Buddha
"Jun 10, 2024",Hong Kong,Hong Kong Stock Exchange,Dragon Boat Festival
"Jul 01, 2024",Hong Kong,Hong Kong Stock Exchange,Hong Kong Special Administrative Region Establishment Day
"Sep 18, 2024",Hong Kong,Hong Kong Stock Exchange,Mid-Autumn Festival
"Oct 01, 2024",Hong Kong,Hong Kong Stock Exchange,National Day
"Oct 11, 2024",Hong Kong,Hong Kong Stock Exchange,Chung Yeung Day
"Dec 24, 2024",Hong Kong,Hong Kong Stock Exchange,Christmas - Early close at 12:00
"Dec 25, 2024",Hong Kong,Hong Kong Stock Exchange,Christmas
"Dec 26, 2024",Hong Kong,Hong Kong Stock Exchange,The first weekday after Christmas Day
"Dec 31, 2024",Hong Kong,Hong Kong Stock Exchange,New Year's Day - Early close at 12:00
"Jan 01, 2025",Hong Kong,Hong Kong Stock Exchange,New Year's Day
